DEPARTAMENTO,MUNICIPIO(S),DESTINO,NOMBRE,IMPACTO,APORTES NACIÓN,CONTRAPARTIDA,RADICACION SALIDA,ESTADO FÍSICO ACTUAL,AVANCE FÍSICO ACTUAL
AMAZONAS,AMAZONAS,Acueducto/Urbana,"ESTUDIOS Y DISEÑOS PARA PROYECTOS DE ACUEDUCTO, SANEAMIENTO BASICO Y PREVENCION Y ATENCION DE EMERGENCIAS EN EL MARCO DE LOS PLANES DEPARTAMENTALES A NIVEL NACIONAL",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 80,388203126.00,0.00,Sin Información,Liquidado,100
ANTIOQUIA,ANTIOQUIA,Acueducto/Urbana,"ESTUDIOS Y DISEÑOS PARA PROYECTOS DE ACUEDUCTO, SANEAMIENTO BASICO Y PREVENCION Y ATENCION DE EMERGENCIAS EN EL MARCO DE LOS PLANES DEPARTAMENTALES A NIVEL NACIONAL",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 117,572946760.00,0.00,Sin Información,En Liquidación,100
CALDAS,CALDAS,Alcantarillado/Urbana,ESTUDIOS DE FACTIBILIDAD Y DISEÑO PARA EL SANEAMIENTO BASICO DE LAS AGUAS RESIDUALES DE LAS 21 LOCALIDADES EN EL DEPARTAMENTO DE CALDAS,Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 279,1361000000.00,0.00,Sin Información,Liquidado,100
CESAR,CESAR,Acueducto/Urbana,REALIZAR LA CAPACITACIÓN A 120 OPERADORES PARA LA PLANTAS POTABILIZADORAS DE LOS MUNICIPIOS DEL DEPARTAMENTO DEL CESAR CON MIRAS A OBTENER CERTIFICACIÓN POR COMPETENCIAS LABORALES PRESTANDO SUS SERVICIOS PROFESIONALES A LA EMPRESA AGUAS DEL CESAR S.A. E.,Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 16,0.00,79195858.00,Sin Información,Liquidado,100
CESAR,CESAR,Acueducto/Urbana,"REALIZAR LA CONSULTORIA PARA LA VALORACIÓN DE LOS PASIVOS LABORALES Y PENCIONALES DE LAS EMPRESAS PRESTADORAS DE PROPIEDAD DE LOS MUNICIPIOS PRESTADORES DIRECTOS DE LOS SERVICIOS PÚBLICOS DOMICILIARIOS DE ACUEDUCTO, ALCANTARILLADO EN LAS 24 ENTIDADES TERR",Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 79,0.00,384088000.00,Sin Información,Liquidado,100
CESAR,CESAR,"Acueducto/Urbana, Alcantarillado/Urbana, Aseo/Urba",DISEÑAR Y DESARROLLAR EL PROGRAMA DE IMPLEMENTACIÓN DE PRACTICAS DE GOBIERNO CORPORATIVO EN CUMPLIMIENTO DEL MARCO DE LA COOPERACIÓN TÉCNICA NO REEMBOLSABLE OTORGADA POR LA CORPORACIÓN ANDINA DE FOMENTO CAF. A LA GOBERNACIÓN DEL CESAR.,SE MEJORA LA CALIDA DE VIDA DE 7 BARRIOS ALEDAÑOS A LA ZONA DE LA LAGUNA EL TARUYAL; YA QUE SE SACARIA DE FUMCIONAMIENTO Y PERMITIRA QUE UN FUTURO SE COMBIERTA EN UNA ZONA DE RECREACIÓN PASIVA. Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 3,0.00,14000000.00,Sin Información,Liquidado,100
CESAR,CESAR,Riesgos/Urbana,REALIZAR LA FORMULACION DEL PLAN INDICATIVO PARA LA PRESERVACIÓN Y MANEJO INTEGRAL DE LA CUENCA DEL RIO CHIRIAIMO EN EL DEPARTAMENTO DEL CESAR.,Población Beneficiada : Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 20,0.00,98280304.00,Sin Información,Liquidado,100
CHOCO,CHOCO,Acueducto/Urbana,"ESTUDIOS Y DISEÑOS PARA PROYECTOS DE ACUEDUCTO, SANEAMIENTO BASICO Y PREVENCION Y ATENCION DE EMERGENCIAS EN EL MARCO DE LOS PLANES DEPARTAMENTALES A NIVEL NACIONAL",CON LA EJECUCION DE ESTE PROYECTO SE LOGRARA BENEFICIAR A LOS HABITANTES QUE PERTENECEN A LAS ZONAS DE DISEÑO DEL DEPARTAMENTO Población Beneficiada : 35000 Nuevas Conexiones : Cobertura : NA Continuidad : - Empleos Generados : 370,1802834309.00,0.00,Sin Información,Liquidado,100
CHOCO,CHOCO,Acueducto/Urbana,PLANTA PARA TRATAMIENTO DE AGUA POTABLE PARA ATENDER EMERGENCIA EN LOS MUNICIPIOS DEL DEPARTAMENTO DEL CHOCO,Contar con un sistema de tratamiento de agua potable para la atención de emergencia de los municipios vinculados al PDA del CHOCO.,0.00,209656641.00,2014EE0035369,Liquidado,100
CUNDINAMARCA,CUNDINAMARCA,Alcantarillado/Rural,CONSTRUCCIÓN DE UNIDADES SANITARIA PARA LAS ZONAS MAS AFECTADAS POR EL CONFLICTO ARMADO DEL DEPARTAMENTO DE CUNDINAMARCA,Garantizar la adecuada disposición de aguas residuales mediante la construcción de unidades sanitarias que incluyen sistema de tratamiento,0.00,0.00,Sin Información,Liquidado,100
